Код;Наименование;ИНН;КПП;Адрес;Телефон;email;Сайт;Дополнительно
521;Межрайонная ИФНС России № 9 по РД;521010985;52101001;,368320,Дагестан Респ,Левашинский р-н,,Леваши с,Алиева А.ул,8,,;252-21444;i0521@m21.r05.nalog.ru;-;Код ОКПО: 70498303. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни
523;Межрайонная ИФНС России № 1 по РД;523004786;52301001;,368780,Дагестан Респ,Магарамкентский р-н,,Магарамкент с,Сальмана ул,6,,;235-25974;i0523@m23.r05.nalog.ru;-;Код ОКПО: 70498728. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни
529;Межрайонная ИФНС России № 2 по РД;529010930;52901001;,368760,Дагестан Респ,С-Стальский р-н,,Касумкент с,Тагира Хрюгского ул,25,,;236-31713;i0529@m29.r05.nalog.ru;-;Код ОКПО: 25195660. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни
531;Межрайонная ИФНС России № 16 по РД;549002021;53101001;,368830,Дагестан Респ,Тарумовский р-н,,Тарумовка с,Пионерская ул,42,,;261-31669;i0531@m31.r05.nalog.ru;-;Код ОКПО: 73914995. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни
533;Межрайонная ИФНС России № 10 по РД;533010500;53301001;,368248,Дагестан Респ,Унцукульский р-н,,Шамилькала п,,,,;257-34271;i0533@m33.r05.nalog.ru;-;Код ОКПО: 70498740. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни
536;Межрайонная ИФНС России № 13 по РД;536007329;53601001;,368430, Дагестан Респ,,, Хебда с, Имама Шамиля ул,,,;233-21761;i0536@m36.r05.nalog.ru;-;Код ОКПО: 73915061. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни
541;Межрайонная ИФНС России по крупнейшим налогоплательщикам по РД;541018936;57201001;,367025,,,Махачкала г,,Буйнакского ул,3,,;8722-685062;i0541@m41.r05.nalog.ru;-;Код ОКПО: 40769897.Режим работы: понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45. Суббота и воскресенье-нерабочие дни
542;Межрайонная ИФНС России № 3 по РД;542026915;54201001;,368600,Дагестан Респ,,Дербент г,,Виноградная ул,9,,;240-46822, 240-48402;i0542@m42.r05.nalog.ru;-;Код ОКПО: 70498102. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни
544;Межрайонная ИФНС России № 17 по РД;544006858;54401001;,368000,Дагестан Респ,,Хасавюрт г,Тотурбиева ул,71,,;2310-3099;i0544@m44.r05.nalog.ru;-;Код ОКПО: 30534348. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Первая и третья субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни
546;Межрайонная ИФНС России № 8 по РД;546015382;54601001;,368100,Дагестан Респ,,Кизилюрт г,,Вишневского ул,13,,;234-21120, 234-21906;i0546@m46.r05.nalog.ru;-;Код ОКПО: 80433977. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни
547;Межрайонная ИФНС России № 15 по РД;547006197;54701001;,368800,Дагестан Респ,,Кизляр г,,Тополка ул,20,,;239-21227;i0547@m47.r05.nalog.ru;-;Код ОКПО: 70498349. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни
548;Межрайонная ИФНС России № 6 по РД;548112705;54801001;,368500,Дагестан Респ,,Избербаш г,,Пушкина ул,68,,;245-27020;i0548@m48.r05.nalog.ru;-;Код ОКПО: 40758770. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни
550;Межрайонная ИФНС России № 4 по РД;550004305;55001001;,368611,Дагестан Респ,,Дагестанские Огни г,,Калинина пр-т,13,,;275-51685;i0550@m50.r05.nalog.ru;-;Код ОКПО: 70498042. Режим работы: понедельник,среда с 9-00 до 18-00, вторник, четверг с 9-00 до 20-00, пятница с 9-00 до 16-45. Вторая и четвертая субботы месяца с 10-00 до 15-00. Остальные субботы и воскресенья месяца-нерабочие дни
600;Управление ФНС России по Республике Ингушетия;606013417;60601001;,386001,Ингушетия Респ,,Магас г,,Горчханова ул,5,,;8734-551502;u06@r06.nalog.ru;www.r06.nalog.ru;Код ОКПО:48544
601;Межрайонная инспекция ФНС России №3 по Республике Ингушетия;601011007;60101001;,386302,Ингушетия Респ,,Малгобек г,,Осканова ул,2А,,;8734-624992;i060101@m01.r06.nalog.ru;-;код ОКПО:36490014, Режим работы с 9.00 по 18.00. Перерыв с 13.00 до 14.00. Выходной: суббота, воскресенье.
603;Межрайонная инспекция ФНС России №2 по Республике Ингушетия;603278461;60301001;,386200,Ингушетия Респ,Сунженский р-н,,Орджоникидзевская ст-ца,Энгельса ул,50,,;8734-721562;i060301@m03.r06.nalog.ru;-;код ОКПО:36455650, Режим работы с 9.00 по 18.00. Перерыв с 13.00 до 14.00. Выходной: суббота, воскресенье.
608;Межрайонная инспекция ФНС России №1 по Республике Ингушетия;606013400;60601001;,386101,Ингушетия Респ,,Назрань г,,Идриса Базоркина пр-кт,28,,;8732-225991;i060601@m01.r06.nalog.ru;-;код ОКПО:36492415, Режим работы с 9.00 по 18.00. Перерыв с 13.00 до 14.00. Выходной: суббота, воскресенье.
700;УФНС России по КБР;721009610;72501001;,360004,Кабардино-Балкарская Респ,,Нальчик г,,Ленина пр,31,,;866-2 74-16-33;u07@r07.nalog.ru;-;"Код ОКПО:31835632 Режим работы понедельник - пятница: 9.00 - 18.00; перерыв 13.00 - 14.00; суббота, воскресенье: выходные дни."
716;Межрайонная ИФНС России №4 по КБР;716000019;71601001;,361000,Кабардино-Балкарская Респ,,Прохладный г,,Ленина ул,149,,;86631 4-71-32;i0716@r07.nalog.ru;-;"Код ОКПО:43599993 Режим работы понедельник, среда, пятница: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; вторая и четвертая суббота месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни."
718;Межрайонная ИФНС России №2 по КБР;718000014;72201001;,361500,Кабардино-Балкарская Респ,,Баксан г,,Катханова ул,6,,;866-34 4-29-35;i0701@r07.nalog.ru;-;"Код ОКПО:31843086 Режим работы понедельник, среда, пятница: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; первая и третья суббота месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни."
720;Межрайонная ИФНС России №5 по КБР;720000011;71001001;,361600,Кабардино-Балкарская Респ,,Тырныауз г,,Эльбрусский пр-кт,89,,;866-38 4-45-37;i0710@r07.nalog.ru;-;"Код ОКПО:41321259 Режим работы понедельник, среда, пятница: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; первая и четвертая суббота месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни."
724;Межрайонная ИФНС России №6 по КБР;724000012;72401001;,361300,Кабардино-Балкарская Респ,,Нарткала г,,Ленина ул,35,,;866-35-4-03-75;i0707@r07.nalog.ru;-;"Код ОКПО:34633596 Режим работы понедельник, среда, пятница: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; первая и третья суббота месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни."
725;ИФНС России №1 по г. Нальчику КБР;725000015;72501001;,360000,Кабардино-Балкарская Респ,,Нальчик г,,Чайковского ул,26,,;866-2 77-72-11;i0725@r07.nalog.ru;-;"Код ОКПО 52515311 Режим работы понедельник, среда, пятница: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; первая и третья суббота месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни."
726;ИФНС России №2 по г. Нальчику КБР;726000018;72501001;,360000,Кабардино-Балкарская Респ,,Нальчик г,,Ногмова ул,55,,;866-2 42-61-15;i0726@r07.nalog.ru;-;"Код ОКПО 86108280 Режим работы понедельник, среда, пятница: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; первая и третья суббота месяца: 10.00 - 15.00 остальные субботы, воскресенье: выходные дни."
800;Управление ФНС России по Республике Калмыкия;814162988;81601001;,358000,Калмыкия Респ,,Элиста г,,Губаревича ул,4,,;(847-22) 4-16-00;u08@r08.nalog.ru;www.r08.nalog.ru;Код ОКПО:24785129 время работы: с 9-00 до 18-00 перерыв: с 13-00 до 14-00
801;Межрайонная ИФНС России № 1 по Республике Калмыкия;801005000;80101001;,359000,Калмыкия Респ,,Городовиковск г,,Садовая ул,25,,;(847-31) 9-22-70;i080100@r08.nalog.ru;-;Код ОКПО:01427918 время работы: с 9-00 до 18-00 перерыв: с 13-00 до 14-00
813;Межрайонная ИФНС России № 3 по Республике Калмыкия;803002855;80301001;,359220, Калмыкия Респ,, Лагань г,, Куйбышева ул, д 1,,;(847-33) 9-26-23;i081300@r08.nalog.ru;-;Код ОКПО:01261375 время работы: с 9-00 до 18-00 перерыв: с 13-00 до 14-00
816;ИФНС России по г.Элисте;816000005;81601001;,358000,,,Элиста г,,Губаревича ул,4,,;(847-22) 4-16-46;i081600@r08.nalog.ru;-;Код ОКПО:95859742 время работы: с 9-00 до 18-00 перерыв: с 13-00 до 14-00
817;Межрайонная ИФНС России № 2 по Республике Калмыкия;814175225;80401001;,359120, Калмыкия Респ,,, Кетченеры п, Лермонтова ул, д 1,,;(847-35) 9-15-60;i081700@r08.nalog.ru;-;Код ОКПО:95859373 время работы: с 9-00 до 18-00 перерыв: с 13-00 до 14-00
900;Управление ФНС России по Карачаево-Черкесской Республике;914000677;91401001;,369000,Карачаево-Черкесская Респ,,Черкесск г,,Красноармейская ул,70,,;(878-2) 26-58-37;u09@r09.nalog.ru;www.r09.nalog.ru;Код ОКПО:48724475 время работы: с 9-00 до 18-00 перерыв: с 13-00 до 14-00 Приемные дни:
912;Межрайонная ИФНС России № 2 по Карачаево-Черкесской Республике;912000054;91201001;,369140,Карачаево-Черкесская Респ,,,Зеленчукская ст-ца,Победы ул,276,,;"(878-78) 5-45-26; 5-22-52";i0912@r09.nalog.ru;-;"Код ОКПО:57818447 время работы: с 9-00 до 18-00 перерыв: с 13-00 до 14-00 Приемные дни:Пн., Ср.: с 9.00 до 18.00; Вт.,Чт.: с 9.00 до 20.00; Пт. с 9.00 до 16.45; Две субботы месяца по графику с 10.00 до 15.00"
916;Межрайонная ИФНС России № 1 по Карачаево-Черкесской Республике;915000158;91501001;,369300,Карачаево-Черкесская Респ,,Усть-Джегута г,,Богатырева ул,43,,;(878-75) 7-28-22;i0916@r09.nalog.ru;-;"Код ОКПО:73657417 время работы: с 9-00 до 18-00 перерыв: с 13-00 до 14-00 Приемные дни:Пн., Ср.: с 9.00 до 18.00; Вт.,Чт.: с 9.00 до 20.00; Пт. с 9.00 до 16.45; Две субботы месяца по графику с 10.00 до 15.00"
917;Межрайонная ИФНС России № 3 по Карачаево-Черкесской Республике;914000772;91401001;,369000,Карачаево-Черкесская Респ,,Черкесск г,,Первомайская ул,45,,;"(878-2)25-86-29; 25-40-21";i0917@m04.r09.nalog.ru;-;"Код ОКПО:73656671 время работы: с 9-00 до 18-00 перерыв: с 13-00 до 14-00 Приемные дни:Пн., Ср.: с 9.00 до 18.00; Вт.,Чт.: с 9.00 до 20.00; Пт. с 9.00 до 16.45; Две субботы месяца по графику с 10.00 до 15.00"
918;Межрайонная ИФНС России № 4 по Карачаево-Черкесской Республике;917008346;91701001;,369330,Карачаево-Черкесская Респ,Адыге-Хабльский р-н,,Адыге-Хабль аул,З-Г.Банова ул,7,,;(878-70) 5-21-12;i0918@r09.nalog.ru;-;"Код ОКПО:80901088 время работы: с 9-00 до 18-00 перерыв: с 13-00 до 14-00 Приемные дни:Пн., Ср.: с 9.00 до 18.00; Вт.,Чт.: с 9.00 до 20.00; Пт. с 9.00 до 16.45; Две субботы месяца по графику с 10.00 до 15.00"
919;Межрайонная ИФНС России № 5 по Карачаево-Черкесской Республике;916004765;91601001;,369200,Карачаево-Черкесская Респ,,Карачаевск г,,Ленина ул,56,а,;(878-79) 2-78-60;i0919@r09.nalog.ru;-;"Код ОКПО:80901384 время работы: с 9-00 до 18-00 перерыв: с 13-00 до 14-00 Приемные дни:Пн., Ср.: с 9.00 до 18.00; Вт.,Чт.: с 9.00 до 20.00; Пт. с 9.00 до 16.45; Две субботы месяца по графику с 10.00 до 15.00"
920;Межрайонная ИФНС России № 6 по Карачаево-Черкесской Республике;916008230;92001001;,369380,Карачаево-Черкесская Респ,Малокарачаевский р-н,,Учкекен с,Боташева ул,4,,;(878-77)2-54-99;i0920@r09.nalog.ru;-;"Код ОКПО: время работы: с 9-00 до 18-00 перерыв: с 13-00 до 14-00 Приемные дни:Пн., Ср.: с 9.00 до 18.00; Вт.,Чт.: с 9.00 до 20.00; Пт. с 9.00 до 16.45; Две субботы месяца по графику с 10.00 до 15.00"
1000;УФНС России по Республике Карелия;1001048511;100101001;,185028,Карелия Респ,,Петрозаводск г,,Кондопожская ул,15/5,,;814-2 79-20-00;u10@r10.nalog.ru;www.nalog.ru;Код ОКПО:24850832 Режим работы: понедельник - четверг с 8.30 до 17.00 пятница с 8.30 до 15.30 перерыв с 13.00 до 14.00
1001;ИФНС России по г.Петрозаводску;1001040537;100101001;,185031,Карелия Респ,,Петрозаводск г,,Московская ул,12А,,;приемная 814-2 71-01-00;i1001@m01.r10.nalog.ru;-;"Код ОКПО:24850849 Режим работы: Пн., Ср.: с 9.00 до 18.00; Вт.,Чт.: с 9.00 до 20.00; Пт. с 9.00 до 16.45; Первая и третья суббота месяца с 10.00 до 15.00"
1031;Межрайонная ИФНС России №1 по Республике Карелия;1002004080;100201001;,186610,Карелия Респ,,Кемь г,,Гидростроителей ул,16а,,;приемная 814-58 5-72-30;i1002@m02.r10.nalog.ru;-;"Код ОКПО:57754807 Режим работы: (г.Кемь, г.Костомукша) - Пн.-Чт.: с 8.30 до 17.30; Пт. с 8.30 до 16.30; (п.Лоухи, п.Калевала) - Пн-Чт: с 8.30 до 17.00; Пт. с 8.30 до 15.30"
1032;Межрайонная ИФНС России № 2 по Республике Карелия;1006005550;100601001;,186420,Карелия Респ,,Сегежа г,,Ленина ул,19а,,;приемная 814-31 4-33-22;i1006@m06.r10.nalog.ru;-;"Код ОКПО:57754829 Режим работы: Пн.-Чт: с 8.30 до 17.00; Пт. с 8.30 до 15.30"
1035;Межрайонная ИФНС России № 5 по Республике Карелия;1007012208;100701001;,186790,Карелия Респ,,Сортавала г,,Гагарина ул,7,,;приемная 814-30 4-58-78;i1007@m07.r10.nalog.ru;-;"Код ОКПО:57754799 Режим работы: Пн., Ср.: с 9.00 до 18.00; Вт.,Чт.: с 9.00 до 20.00; Пт. с 9.00 до 16.45; Две субботы месяца по графику с 10.00 до 15.00"
1039;Межрайонная ИФНС России № 9 по Республике Карелия;1013005375;101301001;,186352,Карелия Респ,,Медвежьегорск г,,Заводская ул,7,,;приемная 814-34 5-63-42;i1013@m13.r10.nalog.ru;-;"Код ОКПО:73692170 Режим работы: Пн.-Чт.: с 8.30 до 17.00; Пт. с 8.30 до 15.30"
1040;Межрайонная ИФНС России № 10 по Республике Карелия;1001047814;100101001;,185031,Карелия Респ,,Петрозаводск г,,Варкауса наб,1а,,;приемная 814-2 79-78-00;i1040@m40.r10.nalog.ru;-;"Код ОКПО:70909686 Режим работы: Пн.-Чт.: с 8.30 до 17.30; Пт.: с 8.30 до 15.30"
1100;УФНС России по Республике Коми;1101486269;110101001;643,167982,Коми Респ,,Сыктывкар г,,Первомайская ул,53,,;8-800-222-22-22;u11@r11.nalog.ru;www.nalog.ru/rn11/;Код ОКПО:12881827. Режим работы: понедельник-четверг с 9.00 по 18.00, пятница с 9.00 до 16.45. Без перерыва на обед. Выходной: суббота, воскресенье
1101;ИФНС России по г. Сыктывкару;1101481359;110101001;643,167981,Коми Респ,,Сыктывкар г,,Пушкина ул,5,,;8-800-222-22-22;i1101@r11.nalog.ru;-;Код ОКПО:12881833. Режим работы: понедельник, среда с 9.00 по 18.00, вторник, четверг с 9.00 до 20.00, пятница с 9.00 до 16.45, 2-я и 4-я суббота с 10.00 до 15.00. Без перерыва на обед. Выходной: 1,3,5 суббота, воскресенье
1102;Межрайонная ИФНС России № 3 по Республике Коми;1102044440;110201001;643,169300,Коми Респ,,Ухта г,,Пушкина ул,2,,;8-800-222-22-22;i1102@r11.nalog.ru;-;Код ОКПО:71090886. Режим работы: понедельник, среда с 9.00 по 18.00, вторник, четверг с 9.00 до 20.00, пятница с 9.00 до 16.45, 2-я и 4-я суббота с 10.00 до 15.00. Без перерыва на обед. Выходной: 1,3,5 суббота, воскресенье
1103;ИФНС России по г. Воркуте Республики Коми;1103001061;110301001;643,169907,Коми Респ,,Воркута г,,Яновского ул,1,,;8-800-222-22-22;i1103@r11.nalog.ru;-;Код ОКПО:12874520. Режим работы: понедельник, среда с 9.00 по 18.00, вторник, четверг с 9.00 до 20.00, пятница с 9.00 до 16.45, 2-я и 4-я суббота с 10.00 до 15.00. Без перерыва на обед. Выходной: 1,3,5 суббота, воскресенье
1104;ИФНС России по г. Инте Республики Коми;1104005076;110401001;643,169840,Коми Респ,,Инта г,,Куратова ул,13,,;8-800-222-22-22;i1104@r11.nalog.ru;-;Код ОКПО:12881848. Режим работы: понедельник, среда с 9.00 по 18.00, вторник, четверг с 9.00 до 20.00, пятница с 9.00 до 16.45, 2-я и 4-я суббота с 10.00 до 15.00. Без перерыва на обед. Выходной: 1,3,5 суббота, воскресенье
1105;Межрайонная ИФНС России № 2 по Республике Коми;1105002864;110501001;643,169600,Коми Респ,,Печора г,,Печорский пр-кт,90,а,;8-800-222-22-22;i1105@m05.r11.nalog.ru;-;Код ОКПО:73328300. Режим работы: понедельник, среда с 9.00 по 18.00, вторник, четверг с 9.00 до 20.00, пятница с 9.00 до 16.45, 2-я и 4-я суббота с 10.00 до 15.00. Без перерыва на обед. Выходной: 1,3,5 суббота, воскресенье
1106;ИФНС России по г. Усинску Республики Коми;1106004470;110601001;643,169706,Коми Респ,,Усинск г,,Нефтяников ул,33,,;8-800-222-22-22;i1106@r11.nalog.ru;-;Код ОКПО:12881862. Режим работы: понедельник, среда с 9.00 по 18.00, вторник, четверг с 9.00 до 20.00, пятница с 9.00 до 16.45, 2-я и 4-я суббота с 10.00 до 15.00. Без перерыва на обед. Выходной: 1,3,5 суббота, воскресенье
1108;Межрайонная ИФНС России № 4 по Республике Коми;1108014441;110801001;643,169502,Коми Респ,,Сосногорск г,,Гоголя ул,1,в,;8-800-222-22-22;i1108@r11.nalog.ru;-;Код ОКПО:12881885. Режим работы: понедельник, среда с 9.00 по 18.00, вторник, четверг с 9.00 до 20.00, пятница с 9.00 до 16.45, 2-я и 4-я суббота с 10.00 до 15.00. Без перерыва на обед. Выходной: 1,3,5 суббота, воскресенье
1109;Межрайонная ИФНС России № 1 по Республике Коми;1109006429;110901001;643,168220,Коми Респ,Сыктывдинский р-н,,Выльгорт с,Домны Каликовой ул,43,,;8-800-222-22-22;i1109@r11.nalog.ru;-;Код ОКПО:12881891. Режим работы: понедельник, среда с 9.00 по 18.00, вторник, четверг с 9.00 до 20.00, пятница с 9.00 до 16.45, 2-я и 4-я суббота с 10.00 до 15.00. Без перерыва на обед. Выходной: 1,3,5 суббота, воскресенье
1121;Межрайонная ИФНС России № 5 по Республике Коми;1121005502;112101001;643,167026,Коми Респ,,Сыктывкар г,,Школьный пер,4,,;8-800-222-22-22;i1121@r11.nalog.ru;-;Код ОКПО:73329021. Режим работы: понедельник, среда с 9.00 по 18.00, вторник, четверг с 9.00 до 20.00, пятница с 9.00 до 16.45, 2-я и 4-я суббота с 10.00 до 15.00. Без перерыва на обед. Выходной: 1,3,5 суббота, воскресенье
1122;Межрайонная ИФНС России по крупнейшим налогоплательщикам по Республике Коми;1101482803;110101001;643,167983,Коми Респ,,Сыктывкар г,,Интернациональная ул,131,,;8-800-222-22-22;i1122@r11.nalog.ru;-;Код ОКПО:57444863. Режим работы: понедельник-четверг с 9.00 по 18.00, пятница с 9.00 до 16.45. Без перерыва на обед. Выходной: суббота, воскресенье
1200;УФНС России по Республике Марий Эл;1215098862;121501001;,424000,Марий Эл Респ,,Йошкар-Ола г,,Пушкина ул,30,,;(8362) 68-70-00, (8362) 41-30-40, (8362) 68-70-09;u12@r12.nalog.ru;-;Код ОКПО:12916951 Режим работы с 8.30 до 17.30
1215;ИФНС России по г. Йошкар-Оле;1215024412;121501001;,424000,Марий Эл Респ,,Йошкар-Ола г,,Вознесенская ул,71,,;(8362) 68-74-00, (8362) 42-55-00, (8362) 68-73-24, (8362) 68-73-;i121500@r12.nalog.ru;-;Код ОКПО:24981592, Режим работы с 8.30 до 17.30, Обслуживание налогоплательщиков без перерыва: пн., ср. с 09.00 до 18.00, вт., чт. с 09.00 до 20.00, пт. с 09.00 до 16.45, 1-я и 3-я суббота месяца с 10.00 до 15.00
1218;Межрайонная ИФНС России № 1 по Республике Марий Эл;1207006297;120701001;,425200,Марий Эл Респ,Медведевский р-н,,Медведево рп,Школьная,1а,,;(8362) 58-94-00, (8362) 58-04-13, (8362) 58-94-42;i120700@r12.nalog.ru;-;Код ОКПО:24981103, Режим работы с 8.30 до 17.30, Обслуживание налогоплательщиков без перерыва: пн., ср. с 09.00 до 18.00, вт., чт. с 09.00 до 20.00, пт. с 09.00 до 16.45, 1-я и 3-я суббота месяца с 10.00 до 15.00
